YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
2011,27,Toronto Raptors,E,22,60,0.268,-6.28,106.85,113.57,-6.72,-6.28,107.17,113.88,-6.72,24.5,24,58,0.01,-6.28,106.1,112.9,92.9,0.293,0.162,0.533,0.491,13.7,28.2,0.221,0.522,13,72,0.251,Air Canada Centre,"680,255","16,592"
2009,27,Oklahoma City Thunder,W,23,59,0.28,-6.1,103.59,110.06,-6.47,-6.03,103.41,109.82,-6.41,24.5,24,58,0.06,-6.04,102.9,109.4,93.6,0.308,0.141,0.521,0.471,14.8,28.6,0.242,0.514,13,73.9,0.216,Ford Center,"766,868","18,704"
2014,28,Utah Jazz,W,25,57,0.305,-7.17,104.15,112,-7.85,-6.27,104.43,111.32,-6.89,24.5,22,60,0.91,-6.27,103.5,111.3,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,EnergySolutions Arena,"745,203","18,176"
2013,29,Orlando Magic,E,20,62,0.244,-6.99,102.09,109.79,-7.7,-7.12,102.05,109.89,-7.84,24.6,22,60,-0.14,-7.12,101.6,109.1,92.2,0.197,0.223,0.514,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195,Amway Center,"722,716","17,627"
2006,30,Portland Trail Blazers,W,21,61,0.256,-9.45,102.06,112.87,-10.81,-8.91,102.35,112.56,-10.21,24.6,16,66,0.54,-8.91,101.1,111.9,87.6,0.31,0.166,0.511,0.474,14.5,26.6,0.214,0.507,12.6,68.2,0.231,Rose Garden Arena,"617,019","15,049"
2008,25,Minnesota Timberwolves,W,22,60,0.268,-6.78,104.42,111.96,-7.54,-6.25,104.62,111.59,-6.97,24.6,23,59,0.52,-6.26,103.8,111.2,91.9,0.248,0.185,0.518,0.484,13.6,27.5,0.183,0.513,12.9,73.6,0.269,Target Center,"593,537","14,477"
2014,27,Orlando Magic,E,23,59,0.28,-5.44,102.14,108.1,-5.96,-5.88,102.06,108.48,-6.41,24.6,26,56,-0.44,-5.88,101.7,107.4,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,Amway Center,"666,046","16,245"
2017,27,Philadelphia 76ers,E,28,54,0.341,-5.7,103.96,109.81,-5.85,-5.83,103.92,109.91,-5.99,24.6,26,56,-0.14,-5.83,103.2,108.9,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234,Wells Fargo Center,"710,557","17,331"
2016,25,Minnesota Timberwolves,W,29,53,0.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68,24.6,31,51,0.15,-3.38,106.5,110.1,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,Target Center,"581,178","14,175"
2011,22,Los Angeles Clippers,W,32,50,0.39,-3.13,106.24,109.78,-3.54,-2.71,106.23,109.31,-3.08,24.6,32,50,0.42,-2.71,105.3,108.7,92.8,0.332,0.23,0.535,0.496,15.1,28.4,0.234,0.499,12.8,73.2,0.25,STAPLES Center,"727,462","17,743"
2015,17,Milwaukee Bucks,E,41,41,0.5,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16,24.6,42,40,-0.52,-0.09,102.7,102.2,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,BMO Harris Bradley Center,"593,910","14,813"
2007,13,Golden State Warriors,W,42,40,0.512,-0.34,107.62,107.84,-0.22,-0.01,107.61,107.48,0.14,24.6,40,42,0.34,0,107,107.4,99.2,0.3,0.279,0.548,0.512,14.1,25.6,0.215,0.506,16.1,69.6,0.264,Oracle Arena,"742,267","18,104"
2014,29,Milwaukee Bucks,E,15,67,0.183,-8.18,103.67,112.67,-9,-8.41,103.88,113.1,-9.23,24.7,20,62,-0.23,-8.41,103,111.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,BMO Harris Bradley Center,"552,067","13,465"
2014,24,Detroit Pistons,E,29,53,0.354,-3.66,106.6,110.51,-3.92,-4.14,106.66,111.07,-4.41,24.7,31,51,-0.48,-4.13,105.9,109.7,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,The Palace of Auburn Hills,"616,005","15,025"
2016,22,Denver Nuggets,W,33,49,0.402,-3.1,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94,24.7,33,49,0.29,-2.81,105.6,108.9,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,Pepsi Center,"577,898","14,095"
2011,14,Philadelphia 76ers,E,41,41,0.5,1.5,107.62,106.02,1.6,1.01,107.55,106.48,1.07,24.7,45,37,-0.5,1.01,106.6,105,91.7,0.273,0.184,0.535,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,Wells Fargo Center,"604,823","14,752"
2017,10,Oklahoma City Thunder,W,47,35,0.573,0.76,108.95,108.17,0.78,1.15,108.94,107.75,1.18,24.7,43,39,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218,Chesapeake Energy Arena,"746,323","18,203"
2018,7,Boston Celtics,E,55,27,0.671,3.59,108.4,104.65,3.75,3.24,108.14,104.75,3.39,24.7,51,31,-0.35,3.23,107.6,103.9,96,0.243,0.357,0.552,0.518,13,21.5,0.188,0.495,13,78.4,0.191,TD Garden,"763,584","18,624"
2010,30,New Jersey Nets,E,12,70,0.146,-9.12,101.54,111.56,-10.02,-8.93,101.75,111.54,-9.79,24.8,17,65,0.19,-8.93,100.6,110.5,91.4,0.307,0.181,0.509,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,Izod Center,"537,230","13,103"
2002,26,Golden State Warriors,W,21,61,0.256,-5.4,103.56,109.28,-5.71,-4.8,103.7,108.74,-5.04,24.8,26,56,0.61,-4.8,102.8,108.5,94.5,0.335,0.142,0.499,0.452,14.7,35.3,0.242,0.488,12.9,69.4,0.232,The Arena in Oakland,"593,182","14,468"
2011,28,New Jersey Nets,E,24,58,0.293,-6.24,103.99,110.94,-6.95,-6.28,104.11,111.1,-6.99,24.8,24,58,-0.04,-6.28,103.1,109.9,89.9,0.283,0.201,0.517,0.474,13.4,26.1,0.215,0.503,11.8,74.2,0.241,Prudential Center,"581,378","13,949"
2011,25,Sacramento Kings,W,24,58,0.293,-5.34,104.18,109.82,-5.65,-4.8,104.16,109.24,-5.07,24.8,27,55,0.54,-4.8,103.5,109,95.2,0.284,0.183,0.519,0.48,14.4,29.9,0.208,0.513,13.5,74.4,0.233,Power Balance Pavilion,"569,496","13,890"
2017,16,Portland Trail Blazers,W,41,41,0.5,-0.52,110.93,111.46,-0.53,-0.23,111.09,111.31,-0.22,24.8,40,42,0.3,-0.23,110.3,110.8,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,Moda Center,"792,029","19,318"
